date,1. open,2. high,3. low,4. close,5. volume
2025-05-12,321.9900,322.2100,311.5000,318.3800,112826661
2025-05-09,290.2100,307.0400,290.0000,298.2600,132387835
2025-05-08,279.6300,289.8000,279.4100,284.8200,97539448
2025-05-07,276.8800,277.9200,271.0000,276.2200,71882408
2025-05-06,273.1050,277.7300,271.3500,275.3500,76715792
2025-05-05,284.5700,284.8490,274.4000,280.2600,94618882
2025-05-02,284.9000,294.7800,279.8100,287.2100,114454683
2025-05-01,280.0100,290.8688,279.8100,280.5200,99658974
2025-04-30,279.9000,284.4500,270.7800,282.1600,128961057
2025-04-29,285.5000,293.3200,279.4695,292.0300,108906553
2025-04-28,288.9800,294.8600,272.4200,285.8800,151731771
2025-04-25,261.6900,286.8500,259.6300,284.9500,167560688
2025-04-24,250.5000,259.5400,249.2000,259.5100,94464195
2025-04-23,254.8600,259.4499,244.4300,250.7400,150381903
2025-04-22,230.9600,242.7900,229.8501,237.9700,120858452
2025-04-21,230.2600,232.2100,222.7900,227.5000,97768007
2025-04-17,243.4700,244.3400,237.6833,241.3700,83404775
2025-04-16,247.6100,251.9700,233.8900,241.5500,112378737
2025-04-15,249.9100,258.7500,247.5400,254.1100,79594318
2025-04-14,258.3600,261.8000,245.9300,252.3500,100135241
2025-04-11,251.8400,257.7400,241.3629,252.3100,128948085
2025-04-10,260.0000,262.4900,239.3300,252.4000,181722604
2025-04-09,224.6900,274.6900,223.8800,272.2000,219433373
2025-04-08,245.0000,250.4400,217.8000,221.8600,171603472
2025-04-07,223.7800,252.0000,214.2500,233.2900,183453776
2025-04-04,255.3800,261.0000,236.0000,239.4300,181229353
2025-04-03,265.2900,276.3000,261.5100,267.2800,136174291
2025-04-02,254.6000,284.9900,251.2700,282.7600,212787817
2025-04-01,263.8000,277.4500,259.2500,268.4600,146486911
2025-03-31,249.3100,260.5600,243.3601,259.1600,134008936
2025-03-28,275.5750,276.1000,260.5700,263.5500,123809389
2025-03-27,272.4800,291.8500,271.8216,273.1300,162572146
2025-03-26,282.6600,284.9000,266.5100,272.0600,156254441
2025-03-25,283.6000,288.2000,271.2800,288.1400,150361538
